City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tangalle,6.024,80.7911,24.94,89,13,4.6,LK,1690498907
1,castillos,-34.1667,-53.8333,8.46,78,86,1.78,UY,1690498592
2,akureyri,65.6835,-18.0878,9.96,81,75,4.63,IS,1690499157
3,port-aux-francais,-49.35,70.2167,5.09,87,90,11.69,TF,1690499157
4,tiksi,71.6872,128.8694,9.42,60,37,3.2,RU,1690499158
5,ribeira grande,38.5167,-28.7,22.65,96,79,4.02,PT,1690499159
6,raja,8.4596,25.678,20.85,95,98,0.34,SS,1690499159
7,blackmans bay,-43.0167,147.3167,12.07,76,79,3.93,AU,1690499159
8,lihue,21.9789,-159.3672,30.58,66,0,7.2,US,1690499159
9,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1690498982
10,acarau,-2.8856,-40.12,26.23,83,15,8.72,BR,1690498593
11,fort bragg,35.139,-79.006,33.32,52,0,3.09,US,1690499161
12,qaqortoq,60.7167,-46.0333,7.13,72,100,0.82,GL,1690499161
13,krasnogorskoye,52.2953,86.1979,15.42,93,56,1.51,RU,1690499162
14,guerrero negro,27.9769,-114.0611,28.34,48,8,6.18,MX,1690499023
15,oppdal,62.5943,9.6912,11.19,93,97,1.76,NO,1690499162
16,bethel,41.3712,-73.414,30.42,88,20,0.0,US,1690499080
17,margaret river,-33.95,115.0667,13.82,72,100,8.31,AU,1690499163
18,port mathurin,-19.6833,63.4167,23.43,77,16,5.3,MU,1690499163
19,waitangi,-43.9535,-176.5597,9.9,87,47,2.68,NZ,1690499163
20,prince rupert,54.3161,-130.3201,15.83,96,75,7.2,CA,1690499047
21,chernyshevskiy,63.0128,112.4714,15.34,64,68,1.97,RU,1690499164
22,al muwayh,22.4333,41.7583,31.08,19,47,6.58,SA,1690499164
23,papatowai,-46.5619,169.4708,8.0,76,88,2.95,NZ,1690499164
24,along,28.1667,94.7667,23.13,98,100,0.37,IN,1690499165
25,onega,63.9061,38.1404,12.78,79,57,2.05,RU,1690499087
26,vilyuchinsk,52.9306,158.4028,12.15,91,100,0.43,RU,1690499165
27,ilulissat,69.2167,-51.1,5.01,93,20,0.51,GL,1690499165
28,port saint john's,-31.6229,29.5448,16.17,87,0,2.17,ZA,1690499166
29,tazovsky,67.4667,78.7,15.3,95,64,2.72,RU,1690498570
30,nova sintra,14.8667,-24.7167,22.49,81,53,7.33,CV,1690499166
31,kailua-kona,19.6406,-155.9956,30.28,79,75,4.12,US,1690499166
32,puerto natales,-51.7236,-72.4875,-2.96,92,74,1.26,CL,1690498884
33,kristiansund,63.1115,7.732,15.03,94,100,3.09,NO,1690498594
34,moapa valley,36.5805,-114.4703,45.3,5,0,9.68,US,1690499167
35,irymple,-34.25,142.1667,15.05,71,89,4.51,AU,1690499167
36,ushuaia,-54.8,-68.3,0.81,55,0,5.66,AR,1690499167
37,keelung,25.1283,121.7419,30.05,84,100,16.48,TW,1690499167
38,nchelenge,-9.3451,28.734,18.33,51,8,1.29,ZM,1690499168
39,bel ombre,-4.6167,55.4167,25.91,83,40,7.2,SC,1690499168
40,albany,42.6001,-73.9662,26.6,88,36,3.52,US,1690499168
41,santa fe,-31.6333,-60.7,14.44,69,29,1.34,AR,1690499168
42,isla aguada,18.7833,-91.4667,30.02,78,100,7.75,MX,1690499168
43,bontang,0.1333,117.5,24.04,87,44,3.83,ID,1690499169
44,bilibino,68.0546,166.4372,12.23,64,93,1.92,RU,1690499169
45,lebu,-37.6167,-73.65,11.64,92,100,1.2,CL,1690499169
46,edinburgh of the seven seas,-37.0676,-12.3116,9.98,49,29,1.96,SH,1690499169
47,kenai,60.5544,-151.2583,17.05,78,100,5.14,US,1690499169
48,adamstown,-25.066,-130.1015,19.43,59,33,1.43,PN,1690499170
49,utrik,11.2278,169.8474,28.46,78,87,8.87,MH,1690499170
50,chonchi,-42.6128,-73.8092,10.07,98,98,1.35,CL,1690498595
51,volokonovka,50.4827,37.8563,19.57,81,87,3.08,RU,1690499170
52,okha,53.5739,142.9478,14.27,85,80,4.94,RU,1690498965
53,yellowknife,62.456,-114.3525,24.29,31,40,3.09,CA,1690499101
54,sovetskaya gavan',48.9723,140.2878,20.87,82,100,0.38,RU,1690498602
55,college,64.8569,-147.8028,26.99,51,75,4.63,US,1690499171
56,gaoual,11.75,-13.2,24.83,95,50,1.7,GN,1690499171
57,kavaratti,10.5669,72.642,28.11,76,99,6.76,IN,1690499171
58,iqaluit,63.7506,-68.5145,13.85,58,40,2.06,CA,1690498996
59,aasiaat,68.7098,-52.8699,3.32,88,73,2.34,GL,1690499172
60,bocas del toro,9.3333,-82.25,25.68,76,100,3.58,PA,1690499172
61,nouadhibou,20.931,-17.0347,22.99,68,7,10.29,MR,1690499172
62,isafjordur,66.0755,-23.124,6.98,91,98,4.03,IS,1690499172
63,kolobrzeg,54.1757,15.5834,16.75,87,91,4.41,PL,1690499172
64,parabel',58.6978,81.4825,15.12,93,46,2.02,RU,1690499173
65,sealy,29.7808,-96.1572,36.4,30,18,8.36,US,1690498930
66,ancud,-41.8697,-73.8203,9.84,95,100,3.46,CL,1690498584
67,iskateley,67.6803,53.1512,14.49,92,100,2.17,RU,1690499173
68,mamit,23.9333,92.4833,20.6,99,93,1.55,IN,1690499173
69,seoni malwa,22.45,77.4667,25.84,91,100,2.92,IN,1690499174
70,carnarvon,-24.8667,113.6333,14.08,67,0,5.85,AU,1690499174
71,natal,-5.795,-35.2094,25.36,94,20,3.09,BR,1690499174
72,tolanaro,-25.0319,46.9987,19.04,72,20,5.14,MG,1690499174
73,dunedin,-45.8742,170.5036,10.45,66,100,1.34,NZ,1690499174
74,dalian,38.9122,121.6022,26.96,83,40,4.0,CN,1690499175
75,afaahiti,-17.75,-149.2833,26.93,85,40,4.35,PF,1690499175
76,talnakh,69.4865,88.3972,19.56,57,17,2.08,RU,1690499175
77,tannum sands,-23.9504,151.3693,20.42,63,75,3.09,AU,1690499175
78,wailua homesteads,22.0669,-159.378,30.24,73,0,7.2,US,1690499175
79,northam,51.0333,-4.2167,18.14,97,40,3.62,GB,1690499176
80,amga,60.8953,131.9608,19.11,47,4,1.66,RU,1690499176
81,aiken,33.5835,-81.5998,33.65,51,0,4.63,US,1690499176
82,mount gambier,-37.8333,140.7667,10.55,96,21,2.83,AU,1690498900
83,puerto leguizamo,-0.1934,-74.7819,25.06,91,59,1.04,CO,1690499177
84,chak one hundred twenty nine left,30.4333,73.05,28.83,78,17,1.48,PK,1690499177
85,papao,-17.75,-149.55,27.82,81,20,4.25,PF,1690499177
86,santa maria da boa vista,-8.8078,-39.8256,25.12,59,55,7.15,BR,1690499177
87,jamestown,42.097,-79.2353,24.45,79,100,6.17,US,1690499016
88,orkney,-26.9802,26.6727,12.41,57,0,3.27,ZA,1690499178
89,romanovskaya,47.5426,42.0285,24.5,44,6,5.93,RU,1690499178
90,weno,7.4515,151.8468,27.85,77,95,5.8,FM,1690499053
91,ghadamis,30.1337,9.5007,35.51,14,0,5.28,LY,1690499178
92,grytviken,-54.2811,-36.5092,-2.28,84,100,4.61,GS,1690499178
93,smithers,54.7804,-127.1743,16.18,72,75,1.03,CA,1690499179
94,port arthur,38.8,121.2667,27.12,92,66,3.84,CN,1690499122
95,saint-pierre,-21.3393,55.4781,18.82,68,75,4.12,RE,1690499179
96,san antonio de pale,-1.4014,5.6325,23.16,89,96,5.27,GQ,1690499179
97,hawaiian paradise park,19.5933,-154.9731,28.35,81,22,0.45,US,1690498895
98,hithadhoo,-0.6,73.0833,28.26,79,97,6.33,MV,1690499180
99,lerwick,60.1545,-1.1494,13.0,86,3,2.65,GB,1690498597
100,uturoa,-16.7333,-151.4333,26.61,77,1,3.97,PF,1690499180
101,lodwar,3.1191,35.5973,28.83,48,62,3.93,KE,1690499180
102,ola,59.5833,151.2833,17.86,56,3,4.34,RU,1690499181
103,banmankhi,25.8833,87.1833,28.37,80,100,3.46,IN,1690499181
104,nar'yan-mar,67.6713,53.087,14.57,93,100,2.47,RU,1690499181
105,whitehorse,60.7161,-135.0538,23.9,49,75,4.12,CA,1690498934
106,champerico,14.3,-91.9167,35.3,65,62,2.99,GT,1690499182
107,bredasdorp,-34.5322,20.0403,9.19,90,0,1.6,ZA,1690499182
108,puerto ayora,-0.7393,-90.3518,28.98,90,39,2.68,EC,1690499182
109,crane,31.3974,-102.3501,36.4,19,18,7.91,US,1690498919
110,wakkanai,45.4094,141.6739,20.63,96,53,7.08,JP,1690499183
111,avarua,-21.2078,-159.775,25.03,69,95,2.06,CK,1690499183
112,olonkinbyen,70.9221,-8.7187,4.89,89,100,5.65,SJ,1690499183
113,coquimbo,-29.9533,-71.3436,14.85,77,20,4.12,CL,1690498397
114,albu kamal,34.45,40.9186,33.75,15,0,6.02,SY,1690499184
115,barra dos coqueiros,-10.9089,-37.0386,26.01,78,40,3.6,BR,1690499184
116,el salto,20.3333,-104.5,22.66,77,76,0.38,MX,1690499184
117,nosy varika,-20.5833,48.5333,17.41,84,65,2.03,MG,1690499185
118,werota,11.9167,37.7,15.66,94,100,0.18,ET,1690499185
119,saint-julien-en-genevois,46.0833,6.0833,20.08,66,0,2.06,FR,1690499185
120,roi et,15.75,103.75,28.03,80,100,5.38,TH,1690499185
121,kangding,30.0513,101.9603,15.38,99,100,0.79,CN,1690499186
122,hinton,53.4001,-117.5857,12.46,92,97,2.05,CA,1690499186
123,necochea,-38.5473,-58.7368,7.28,78,100,1.82,AR,1690499186
124,port augusta,-32.5,137.7667,14.63,69,55,1.41,AU,1690498600
125,gurupi,-11.7292,-49.0686,27.72,29,27,2.49,BR,1690499039
126,behompy,-23.2496,43.8557,16.18,45,0,2.28,MG,1690499187
127,mount pearl,47.5166,-52.7813,20.25,86,100,4.02,CA,1690499187
128,ghat,24.9647,10.1728,32.82,10,2,2.78,LY,1690499187
129,valparaiso,-33.0393,-71.6273,17.13,59,0,5.14,CL,1690499188
130,gainesville,29.6516,-82.3248,29.81,70,100,1.0,US,1690498856
131,nangomba,-10.9,38.5,18.68,85,68,1.51,TZ,1690499188
132,anadyr,64.75,177.4833,14.28,76,75,2.0,RU,1690499188
133,pangody,65.85,74.4859,17.71,88,88,1.44,RU,1690499188
134,swakopmund,-22.6833,14.5333,12.47,87,9,0.89,NA,1690499189
135,east london,-33.0153,27.9116,15.3,83,0,3.57,ZA,1690498916
136,westport,41.1415,-73.3579,31.62,75,75,12.86,US,1690498925
137,geraldton,-28.7667,114.6,10.23,100,100,5.14,AU,1690498602
138,caleta de carquin,-11.0925,-77.6267,20.29,76,46,5.45,PE,1690499189
139,miyako,39.6367,141.9525,27.77,65,23,1.09,JP,1690498984
140,najran,17.4924,44.1277,33.36,16,85,1.4,SA,1690499190
141,barabai,-2.5833,115.3833,21.53,88,57,1.07,ID,1690499190
142,saipan,15.1355,145.701,26.39,100,100,6.17,MP,1690499190
143,groningen,53.25,6.75,18.36,95,100,3.6,NL,1690499123
144,fort st. john,56.2499,-120.8529,17.94,63,75,2.57,CA,1690499113
145,una,20.8167,71.0333,26.25,88,100,7.62,IN,1690499191
146,kimbe,-5.5502,150.1429,24.79,93,100,2.07,PG,1690499191
147,coracora,-15.0333,-73.7833,9.87,33,0,2.18,PE,1690499191
148,port lincoln,-34.7333,135.8667,13.61,87,10,5.87,AU,1690499192
149,ugoofaaru,5.6667,73.0,28.08,73,88,1.97,MV,1690498599
150,punta del este,-34.9667,-54.95,9.93,78,0,2.24,UY,1690499074
151,kodiak,57.79,-152.4072,13.73,82,100,4.12,US,1690499192
152,longyearbyen,78.2186,15.6401,9.91,71,75,7.72,SJ,1690499193
153,cestos city,5.46,-9.5828,25.06,89,96,4.45,LR,1690499193
154,beberibe,-4.1797,-38.1306,26.16,80,8,6.44,BR,1690499193
155,sisimiut,66.9395,-53.6735,7.99,78,72,3.39,GL,1690499193
156,sinan,34.8262,126.1086,26.06,92,100,5.15,KR,1690499193
157,hermanus,-34.4187,19.2345,12.18,77,0,1.4,ZA,1690499194
158,gizo,-8.103,156.8419,27.66,80,62,5.4,SB,1690499194
159,vallenar,-28.5708,-70.7581,17.73,60,3,0.79,CL,1690499194
160,arraial do cabo,-22.9661,-42.0278,21.92,83,0,4.63,BR,1690499194
161,dryden,49.7833,-92.7503,26.16,38,20,4.12,CA,1690499194
162,altai,46.3722,96.2583,17.0,32,29,1.88,MN,1690499194
163,nikel,69.4128,30.222,12.1,81,25,1.06,RU,1690499195
164,grand falls-windsor,48.9332,-55.6649,21.95,85,84,0.89,CA,1690499195
165,berdyansk,46.7503,36.7944,24.13,87,99,1.21,UA,1690499195
166,vila franca do campo,37.7167,-25.4333,23.23,94,46,4.21,PT,1690498989
167,luderitz,-26.6481,15.1594,12.08,85,0,0.44,NA,1690499195
168,kununurra,-15.7667,128.7333,12.99,94,95,0.51,AU,1690499195
169,kismayo,-0.3582,42.5454,24.15,85,40,6.7,SO,1690499196
170,fendou,46.65,124.8667,23.83,92,95,4.99,CN,1690499196
171,udachny,66.4167,112.4,16.92,55,86,1.18,RU,1690499196
172,invercargill,-46.4,168.35,6.68,83,95,2.24,NZ,1690499196
173,maridi,4.9158,29.4742,20.21,91,94,2.53,SS,1690499196
174,nizhniy odes,63.6445,54.856,14.57,99,100,1.99,RU,1690499197
175,mawlaik,23.6333,94.4167,25.1,99,100,0.1,MM,1690499197
176,conception bay south,47.4999,-52.9981,20.58,86,100,6.26,CA,1690499197
177,west island,-12.1568,96.8225,23.99,78,75,9.77,CC,1690499197
178,mejit,10.2753,170.8646,28.4,80,99,9.1,MH,1690499197
179,bulgan,48.8125,103.5347,14.37,74,53,0.13,MN,1690499198
180,huilong,31.8111,121.655,26.63,93,100,7.5,CN,1690499198
181,maintirano,-18.0667,44.0167,22.09,80,0,4.35,MG,1690498941
182,mohr,54.3528,9.7167,15.08,93,99,1.54,DE,1690499198
183,hammerfest,70.6634,23.6821,9.25,87,75,1.54,NO,1690499198
184,ust-nera,64.5667,143.2,12.65,58,51,1.91,RU,1690499199
185,porto novo,6.4965,2.6036,25.9,91,100,3.19,BJ,1690499199
186,vorgashor,67.5833,63.95,14.09,93,94,1.22,RU,1690499003
187,ghanzi,-21.5667,21.7833,15.69,34,2,4.82,BW,1690499199
188,new norfolk,-42.7826,147.0587,12.73,72,59,3.88,AU,1690499199
189,kapuskasing,49.4169,-82.4331,27.05,57,40,8.23,CA,1690498966
190,thompson,55.7435,-97.8558,14.09,67,75,3.6,CA,1690499200
191,ulladulla,-35.35,150.4667,18.26,46,62,3.96,AU,1690499200
192,mumford,5.2618,-0.759,24.2,92,83,4.28,GH,1690499200
193,zarghun shahr,32.8473,68.4457,21.93,54,61,0.44,AF,1690499200
194,sanctuary point,-35.1114,150.629,19.62,46,48,2.45,AU,1690499200
195,newman,37.3138,-121.0208,38.92,10,0,4.55,US,1690499052
196,qamdo,31.1667,97.2333,5.26,73,99,1.67,CN,1690499120
197,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,2.0,RU,1690499201
198,waingapu,-9.6567,120.2641,22.19,78,8,4.77,ID,1690499201
199,dongola,19.1667,30.4833,33.77,37,47,2.84,SD,1690499201
200,surgana,20.5667,73.6167,22.27,96,100,4.51,IN,1690499201
201,revelstoke,50.9832,-118.2023,21.01,49,75,7.2,CA,1690499201
202,st. john's,47.5649,-52.7093,20.71,87,100,2.24,CA,1690499062
203,dordrecht,51.81,4.6736,18.36,86,100,2.68,NL,1690499201
204,vorkuta,67.5,64.0,14.47,92,97,0.95,RU,1690499202
205,ust'-uda,54.1742,103.0304,15.81,87,19,0.44,RU,1690499202
206,cidreira,-30.1811,-50.2056,12.8,71,75,3.07,BR,1690499202
207,haiku-pauwela,20.9219,-156.3051,30.01,63,20,12.86,US,1690499202
